vacc_id,vacc_name,vacc_vocab,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
45775997,Streptococcus pneumoniae type 1 capsular polysaccharide antigen / Streptococcus pneumoniae type 10A capsular polysaccharide antigen / Streptococcus pneumoniae type 11A capsular polysaccharide antigen / Streptococcus pneumoniae type 12F capsular polysaccharide antigen / Streptococcus pneumoniae type 14 capsular polysaccharide antigen / Streptococcus pneumoniae type 15B capsular polysaccharide antigen / Streptococcus pneumoniae type 17F capsular polysaccharide antigen / Streptococcus pneumoniae type 18C capsular polysaccharide antigen / Streptococcus pneumoniae type 19A capsular polysaccharide antigen / Streptococcus pneumoniae type 19F capsular polysaccharide antigen / Streptococcus pneumoniae type 2 capsular polysaccharide antigen / Streptococcus pneumoniae type 20 capsular polysaccharide antigen / Streptococcus pneumoniae type 22F capsular polysaccharide antigen / Streptococcus pneumoniae type 23F capsular polysaccharide antigen / Streptococcus pneumoniae type 3 capsular polysaccha...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
45775998,Pneumovax 23 (Pneumococcal vaccine polyvalent) 0.5 ML Prefilled Syringe,RxNorm,,,,,,pneumococcal,,,,,,
45775998,0.5 ML Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polys...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
45892427,"Ipol (poliovirus vaccine, inactivated) 0.5 ML Prefilled Syringe",RxNorm,,,,poliovirus,,,,,,poliovirus inactivated,,
45892428,Ipol (poliovirus vaccine inactivated) Prefilled Syringe,RxNorm,,,,poliovirus,,,,,,poliovirus inactivated,,
45892095,meningococcal group B vaccine 50 MCG / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 50 MCG / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 50 MCG / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 25 MCG per 0.5 ML Prefilled Syringe,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
46274971,Neisseria meningitidis group B recombinant FHBP fusion protein antigen,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
45892095,0.5 ML meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML Prefilled Syringe,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
46274972,Neisseria meningitidis group B recombinant NADA fusion protein antigen,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
45892097,meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML [Bexsero],RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
46274973,Neisseria meningitidis group B recombinant NHBA fusion protein antigen,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
45892099,Bexsero (meningococcal group B vaccine 50 MCG / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 50 MCG / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 50 MCG / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 25 MCG) per 0.5 ML Prefilled Syringe,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
46274974,Neisseria meningitidis group B strain NZ98/254 outer membrane vesicle,RxNorm,,,,,,meningococcal,,,,,,
45892099,Bexsero Meningococcal Group B Vaccine 0.5 ML Prefilled Syringe,RxNorm,,,,,,meningococcal,,,,,,
45892099,Bexsero (meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML) per 0.5 ML Prefilled Syringe,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
45892099,0.5 ML meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML Prefilled Syringe [Bexsero],RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
45892100,meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML Prefilled Syringe,RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
45892101,meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML Prefilled Syringe [Bexsero],RxNorm,,,,,,meningococcal,,,,,,meningococcal recombinant
46276196,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal oligosaccharide
46276197,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine Injection [Menveo],RxNorm,,,,,,meningococcal,,,,,,meningococcal oligosaccharide
46276290,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal oligosaccharide
46276291,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML Injection [Menveo],RxNorm,,,,,,meningococcal,,,,,,meningococcal oligosaccharide
46276204,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
46276205,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine Injection [Menactra],RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
46276293,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
46276294,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML Injection [Menactra],RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
46275236,hepatitis B surface antigen vaccine 10 MCG per 1 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
46275229,hepatitis B surface antigen vaccine 10 MCG per 0.5 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
46275241,hepatitis B surface antigen vaccine 5 MCG per 0.5 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
46275243,hepatitis B surface antigen vaccine 20 MCG per 1 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
46275346,Streptococcus pneumoniae type 1 capsular polysaccharide antigen / Streptococcus pneumoniae type 10A capsular polysaccharide antigen / Streptococcus pneumoniae type 11A capsular polysaccharide antigen / Streptococcus pneumoniae type 12F capsular polysaccharide antigen / Streptococcus pneumoniae type 14 capsular polysaccharide antigen / Streptococcus pneumoniae type 15B capsular polysaccharide antigen / Streptococcus pneumoniae type 17F capsular polysaccharide antigen / Streptococcus pneumoniae type 18C capsular polysaccharide antigen / Streptococcus pneumoniae type 19A capsular polysaccharide antigen / Streptococcus pneumoniae type 19F capsular polysaccharide antigen / Streptococcus pneumoniae type 2 capsular polysaccharide antigen / Streptococcus pneumoniae type 20 capsular polysaccharide antigen / Streptococcus pneumoniae type 22F capsular polysaccharide antigen / Streptococcus pneumoniae type 23F capsular polysaccharide antigen / Streptococcus pneumoniae type 3 capsular polysaccha...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
46275250,Hyperhep B 220 UNT per 1 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
46275347,pneumococcal capsular polysaccharides (23) 0.5 ML Injection,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
46275252,Hyperhep B 220 UNT/ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
46275254,Hyperhep B 1100 UNT per 5 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
46275347,0.5 ML Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polys...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
46275261,meningococcal group A polysaccharide 50 MCG / meningococcal group C polysaccharide 50 MCG / meningococcal polysaccharide vaccine group W-135 50 MCG / meningococcal polysaccharide vaccine group Y 50 MCG per 0.5 ML Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
46275348,Streptococcus pneumoniae type 1 capsular polysaccharide antigen / Streptococcus pneumoniae type 10A capsular polysaccharide antigen / Streptococcus pneumoniae type 11A capsular polysaccharide antigen / Streptococcus pneumoniae type 12F capsular polysaccharide antigen / Streptococcus pneumoniae type 14 capsular polysaccharide antigen / Streptococcus pneumoniae type 15B capsular polysaccharide antigen / Streptococcus pneumoniae type 17F capsular polysaccharide antigen / Streptococcus pneumoniae type 18C capsular polysaccharide antigen / Streptococcus pneumoniae type 19A capsular polysaccharide antigen / Streptococcus pneumoniae type 19F capsular polysaccharide antigen / Streptococcus pneumoniae type 2 capsular polysaccharide antigen / Streptococcus pneumoniae type 20 capsular polysaccharide antigen / Streptococcus pneumoniae type 22F capsular polysaccharide antigen / Streptococcus pneumoniae type 23F capsular polysaccharide antigen / Streptococcus pneumoniae type 3 capsular polysaccha...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
46275263,Menomune A/C/Y/W-135 (meningococcal group A polysaccharide 50 MCG / meningococcal group C polysaccharide 50 MCG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 50 MCG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 50 MCG) per 0.5 ML Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
46275349,Pneumovax 23 (Pneumococcal vaccine polyvalent) 0.5 ML Injection,RxNorm,,,,,,pneumococcal,,,,,,
46275268,yellow fever vaccine (generic for YF-Vax) 0.5 ML Injection,RxNorm,,,,,,yellow fever,,,,,,
792781,"0.5 ML zoster vaccine, recombinant 0.1 MG/ML",RxNorm,,,,varicella,,,,,,varicella recombinant,,
46275349,0.5 ML Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polys...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
46275350,Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polysacchari...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
46275351,Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polysacchari...,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
1593653,yellow fever vaccine (generic for Stamaril) 0.5 ML Injection,RxNorm,,,,,,yellow fever,,,,,,
792786,Shingrix vaccine 0.5 ML Injection,RxNorm,,,,varicella,,,,,,,,
793515,hepatitis B vaccine (recombinant) pediatric/adolescent 20 MCG in 0.5 ML Injection,RxNorm,,,,,hepatitis b,,,,,,hepatitis b recombinant,
793515,hepatitis B surface antigen vaccine 20 MCG per 0.5 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
793515,hepatitis B surface antigen vaccine 0.04 MG/ML per 0.5 ML Injection,RxNorm,,,,,hepatitis b,,,,,,,
19027665,tetanus toxoid vaccine 5 UNT per 0.5 ML Injectable Suspension,RxNorm,,tetanus,,,,,,tetanus toxoid,,,,
35201908,hepatitis B surface antigen vaccine 0.04 MG/ML per 0.5 ML Prefilled Syringe,RxNorm,,,,,hepatitis b,,,,,,,
1361635,dengue tetravalent vaccine live 0.5 ML Injection,RxNorm,,,,,,dengue,,,,,,
19036135,Bayhep B 217 UNT/ML Injectable Solution,RxNorm,,,,,hepatitis b,,,,,,,
19035048,Menomune A/C/Y/W-135 (meningococcal group A polysaccharide 50 MCG / meningococcal group C polysaccharide 50 MCG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 50 MCG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 50 MCG) per 0.5 ML Injectable Solution,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
19035048,Menomune A/C/Y/W-135 (meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.1 MG/ML) Injectable Solution,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
19035048,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injectable Solution [Menomune A/C/Y/W-135],RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
37003639,"JYNNEOS smallpox and monkeypox vaccine, live 0.5 ML Injection",RxNorm,,,,,,smallpox,,,,,,
1145521,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injectable Product,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1145522,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1146728,"meningococcal (groups A, C, Y and W-135) polysaccharide tetanus toxoid conjugate vaccine 0.5 ML Injection",RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1146728,0.5 ML Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1145524,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML [Menquadfi],RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1145525,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injection [Menquadfi],RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1146729,MenQuadfi vaccine 0.5 ML Injection,RxNorm,,,,,,meningococcal,,,,,,
1146729,"MenQuadfi Meningococcal (Groups A,C,Y and W-135) Polysaccharide Tetanus Toxoid Conjugate Vaccine 0.5 ML Injection",RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1146729,0.5 ML Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML Injection [Menquadfi],RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1145527,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
1145528,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine 0.02 MG/ML Injection [Menquadfi],RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
40086930,Tetanus Toxoid Adsorbed Inj 10 LF,RxNorm,,tetanus,,,,,,tetanus toxoid,,,,
19129406,rubella virus vaccine live (Wistar RA 27-3 Strain) 1000 UNT per 0.5 ML Injectable Solution,RxNorm,,rubella,,,,,,rubella live,,,,
523215,"Meruvax II, Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) Injectable Solution",RxNorm,,rubella,,,,,,rubella live,,,,
529656,tetanus toxoid vaccine 10 UNT per 0.5 ML Prefilled Syringe,RxNorm,,tetanus,,,,,,tetanus toxoid,,,,
19129482,"poliovirus vaccine inactivated, type 1 (Mahoney) 40 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 8 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 32 UNT/ML per 0.5 ML Injectable Suspension",RxNorm,,,,poliovirus,,,,,,poliovirus inactivated,,
19129484,"Ipol (poliovirus vaccine inactivated, type 1 (Mahoney) 40 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 8 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 32 UNT/ML per 0.5 ML) Injectable Suspension",RxNorm,,,,poliovirus,,,,,,poliovirus inactivated,,
529657,tetanus toxoid vaccine 5 UNT per 0.5 ML Prefilled Syringe,RxNorm,,tetanus,,,,,,tetanus toxoid,,,,
40150933,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine Injectable Suspension,RxNorm,,,,,,pneumococcal,,,,,,pneumococcal conjugate
528293,"meningococcal (groups A, C, Y and W-135) polysaccharide diphtheria toxoid conjugate vaccine 0.5 ML Injection",RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
528293,0.5 ML Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML Injection,RxNorm,,,,,,meningococcal,,,,,,meningococcal polysaccharide
